district	firstname	lastname	party	committee_leadership	committee_membership	UID
CA26	Julia	Brownley	D	['VR03_118']	['PW00_118', 'VR00_118', 'PW02_118', 'PW05_118', 'PW12_118']	B001285
CA27	Mike	Garcia	R	[]	['AP00_118', 'IG00_118', 'SY00_118', 'AP02_118', 'AP10_118', 'AP19_118', 'IG02_118', 'IG04_118', 'SY16_118']	G000061
CA28	Judy	Chu	D	[]	['SM00_118', 'WM00_118', 'SM22_118', 'SM23_118', 'SM27_118', 'WM02_118', 'WM03_118', 'WM06_118']	C001080
CA29	Tony	Cárdenas	D	[]	['IF00_118', 'IF03_118', 'IF14_118', 'IF16_118']	C001097
CA30	Adam	Schiff	D	[]	['JU00_118', 'JU03_118']	S001150
CA31	Grace	Napolitano	D	['PW02_118']	['II00_118', 'PW00_118', 'II06_118', 'II13_118', 'PW12_118', 'PW13_118', 'PW14_118']	N000179
CA32	Brad	Sherman	D	['BA16_118']	['BA00_118', 'FA00_118', 'BA20_118', 'BA21_118', 'FA05_118', 'FA13_118']	S000344
CA33	Pete	Aguilar	D	[]	['AP00_118', 'AP02_118', 'AP20_118']	A000371
CA34	Jimmy	Gomez	D	['IG09_118']	['GO00_118', 'IG00_118', 'GO12_118', 'GO27_118', 'IG02_118']	G000585
CA35	Norma	Torres	D	['HA06_118']	['AP00_118', 'HA00_118', 'AP04_118', 'AP20_118', 'AP23_118', 'HA08_118']	T000474
CA36	Ted	Lieu	D	[]	['FA00_118', 'JU00_118', 'SY00_118', 'JU03_118', 'JU05_118']	L000582
CA37	Sydney	Kamlager-Dove	D	[]	['FA00_118', 'II00_118', 'FA07_118', 'II06_118', 'II10_118']	K000400
CA38	Linda	Sánchez	D	[]	['FD00_118', 'WM00_118', 'WM01_118', 'WM04_118', 'WM05_118']	S001156
CA39	Mark	Takano	D	['VR00_118']	['ED00_118', 'ED10_118', 'ED13_118']	T000472
CA40	Young	Kim	R	['FA05_118']	['BA00_118', 'FA00_118', 'BA01_118', 'BA20_118', 'FA16_118']	K000397
CA41	Ken	Calvert	R	['AP02_118']	['AP00_118', 'AP10_118']	C000059
CA42	Robert	Garcia	D	['GO06_118']	['GO00_118', 'HM00_118', 'VC00_118', 'GO24_118', 'HM07_118', 'HM11_118']	G000598
CA43	Maxine	Waters	D	['BA00_118']	[]	W000187
CA44	Nanette	Barragán	D	[]	['IF00_118', 'IF14_118', 'IF18_118']	B001300
CA45	Michelle	Steel	R	[]	['ED00_118', 'WM00_118', 'ZS00_118', 'ED02_118', 'ED14_118', 'WM02_118', 'WM03_118']	S001135
CA46	J.	Correa	D	['HM11_118']	['HM00_118', 'JU00_118', 'HM05_118', 'JU01_118', 'JU05_118']	C001110
