district	firstname	lastname	party	committee_leadership	committee_membership	UID
MN01	Brad	Finstad	R	[]	['AG00_118', 'AS00_118', 'AS02_118', 'AS03_118']	F000475
MN02	Angie	Craig	D	[]	['AG00_118', 'IF00_118', 'IF14_118', 'IF16_118']	C001119
MN03	Dean	Phillips	D	['FA13_118']	['FA00_118', 'SM00_118', 'SM22_118', 'SM27_118']	P000616
MN04	Betty	McCollum	D	['AP02_118']	['AP00_118', 'AP06_118']	M001143
MN05	Ilhan	Omar	D	[]	['BU00_118', 'ED00_118', 'ED02_118', 'ED10_118']	O000173
MN06	Tom	Emmer	R	[]	['BA00_118', 'BA16_118', 'BA21_118']	E000294
MN07	Michelle	Fischbach	R	[]	['BU00_118', 'RU00_118', 'SO00_118', 'WM00_118', 'WM04_118', 'WM06_118']	F000470
MN08	Pete	Stauber	R	['II06_118']	['II00_118', 'PW00_118', 'SM00_118', 'II10_118', 'PW05_118', 'PW12_118', 'PW14_118', 'SM21_118']	S001212
MO01	Cori	Bush	D	['GO05_118']	['GO00_118', 'JU00_118', 'GO06_118', 'JU08_118', 'JU10_118']	B001224
MO02	Ann	Wagner	R	['BA16_118']	['BA00_118', 'FA00_118', 'BA09_118', 'FA05_118', 'FA14_118']	W000812
MO03	Blaine	Luetkemeyer	R	['BA01_118']	['BA00_118', 'SM00_118', 'ZS00_118', 'BA04_118', 'BA20_118', 'SM21_118', 'SM27_118']	L000569
MO04	Mark	Alford	R	[]	['AG00_118', 'AS00_118', 'SM00_118', 'AS02_118', 'AS28_118', 'SM24_118', 'SM27_118']	A000379
MO05	Emanuel	Cleaver	D	['BA04_118']	['BA00_118', 'BA16_118']	C001061
MO06	Sam	Graves	R	['PW00_118']	['AS00_118', 'AS25_118']	G000546
MO07	Eric	Burlison	R	[]	['ED00_118', 'GO00_118', 'PW00_118', 'ED02_118', 'ED10_118', 'GO12_118', 'GO24_118', 'GO27_118', 'PW02_118', 'PW12_118', 'PW14_118']	B001316
MO08	Jason	Smith	R	['WM00_118']	[]	S001195
MP00	Gregorio	Sablan	D	[]	['ED00_118', 'II00_118', 'ED13_118', 'ED14_118', 'II10_118', 'II24_118']	S001177
MS01	Trent	Kelly	R	['AS28_118', 'IG04_118']	['AG00_118', 'AS00_118', 'IG00_118', 'AS26_118', 'IG06_118']	K000388
MS02	Bennie	Thompson	D	['HM00_118']	[]	T000193
MS03	Michael	Guest	R	['SO00_118']	['AP00_118', 'HM00_118', 'AP10_118', 'AP15_118', 'AP18_118', 'HM11_118']	G000591
MS04	Mike	Ezell	R	[]	['HM00_118', 'PW00_118', 'HM08_118', 'HM09_118', 'PW02_118', 'PW07_118', 'PW13_118']	E000235
MT01	Ryan	Zinke	R	[]	['AP00_118', 'SY00_118', 'AP06_118', 'AP18_118', 'AP20_118', 'SY18_118']	Z000018
MT02	Matthew	Rosendale	R	['VR11_118']	['II00_118', 'VR00_118', 'II06_118', 'II15_118', 'VR08_118']	R000103
NC01	Donald	Davis	D	[]	['AG00_118', 'AS00_118', 'AS02_118', 'AS03_118']	D000230
NC02	Deborah	Ross	D	['SY18_118']	['JU00_118', 'SO00_118', 'SY00_118', 'VC00_118', 'JU01_118', 'JU03_118', 'SY20_118']	R000305
NC03	Gregory	Murphy	R	[]	['HA00_118', 'JP00_118', 'VR00_118', 'WM00_118', 'HA06_118', 'VR03_118', 'WM02_118', 'WM04_118']	M001210
NC04	Valerie	Foushee	D	['SY21_118']	['PW00_118', 'SY00_118', 'PW12_118', 'PW14_118', 'SY20_118']	F000477
NC05	Virginia	Foxx	R	['ED00_118']	['GO00_118', 'ED13_118', 'ED14_118', 'GO06_118', 'GO27_118']	F000450
NC06	Kathy	Manning	D	[]	['ED00_118', 'FA00_118', 'ED02_118', 'ED13_118', 'FA06_118', 'FA13_118']	M001135
NC07	David	Rouzer	R	['PW02_118']	['AG00_118', 'PW00_118', 'PW14_118']	R000603
NC08	Dan	Bishop	R	['HM09_118']	['FD00_118', 'HM00_118', 'JU00_118', 'HM05_118', 'JU05_118', 'JU10_118']	B001311
NC09	Richard	Hudson	R	[]	['IF00_118', 'IF14_118']	H001067
NC10	Patrick	McHenry	R	['BA00_118']	[]	M001156
NC11	Chuck	Edwards	R	[]	['BU00_118', 'GO00_118', 'PW00_118', 'GO05_118', 'GO12_118', 'GO24_118', 'PW02_118', 'PW12_118', 'PW13_118']	E000246
NC12	Alma	Adams	D	['ED10_118']	['AG00_118', 'ED00_118', 'ED13_118']	A000370
NC13	Wiley	Nickel	D	[]	['BA00_118', 'BA01_118', 'BA16_118', 'BA21_118']	N000194
NC14	Jeff	Jackson	D	[]	['AS00_118', 'SY00_118', 'AS25_118', 'AS26_118', 'SY16_118', 'SY21_118']	J000308
ND00	Kelly	Armstrong	R	[]	['FD00_118', 'GO00_118', 'IF00_118', 'GO06_118', 'IF02_118', 'IF03_118', 'IF17_118']	A000377
NE01	Mike	Flood	R	[]	['BA00_118', 'BA04_118', 'BA21_118']	F000474
NE02	Don	Bacon	R	[]	['AG00_118', 'AS00_118', 'AS25_118', 'AS29_118']	B001298
NE03	Adrian	Smith	R	['WM04_118']	['WM00_118', 'WM02_118', 'WM03_118']	S001172
NH01	Chris	Pappas	D	['VR09_118']	['PW00_118', 'SM00_118', 'VR00_118', 'PW02_118', 'PW07_118', 'PW12_118', 'SM22_118', 'VR08_118']	P000614
NH02	Ann	Kuster	D	[]	['IF00_118', 'IF03_118', 'IF14_118', 'IF16_118']	K000382
NJ01	Donald	Norcross	D	['AS25_118']	['AS00_118', 'ED00_118', 'AS28_118', 'AS29_118', 'ED02_118', 'ED14_118']	N000188
NJ02	Jefferson	Van Drew	R	[]	['JU00_118', 'PW00_118', 'JU01_118', 'JU05_118', 'JU13_118', 'PW05_118', 'PW07_118', 'PW12_118']	V000133
NJ03	Andy	Kim	D	['AS02_118']	['AS00_118', 'FA00_118', 'ZS00_118', 'AS35_118', 'FA05_118', 'FA17_118']	K000394
NJ04	Christopher	Smith	R	['FA06_118']	['FA00_118', 'FA16_118']	S000522
NJ05	Josh	Gottheimer	D	['IG02_118']	['BA00_118', 'IG00_118', 'BA01_118', 'BA16_118', 'BA21_118', 'IG06_118']	G000583
NJ06	Frank	Pallone	D	['IF00_118']	[]	P000034
NJ07	Thomas	Kean	R	['FA14_118']	['FA00_118', 'PW00_118', 'SY00_118', 'FA16_118', 'PW05_118', 'PW12_118', 'PW14_118', 'SY15_118', 'SY20_118']	K000398
NJ08	Robert	Menendez	D	[]	['HM00_118', 'PW00_118', 'HM08_118', 'PW05_118', 'PW12_118', 'PW14_118']	M001226
NJ09	Bill	Pascrell	D	['WM06_118']	['WM00_118', 'WM01_118']	P000096
NJ10	Donald	Payne	D	['PW14_118']	['HM00_118', 'PW00_118', 'HM07_118', 'HM12_118', 'PW05_118']	P000604
NJ11	Mikie	Sherrill	D	[]	['AS00_118', 'ZS00_118', 'AS03_118', 'AS25_118']	S001207
NJ12	Bonnie	Watson Coleman	D	[]	['AP00_118', 'AP07_118', 'AP20_118']	W000822
NM01	Melanie	Stansbury	D	['II15_118']	['GO00_118', 'II00_118', 'GO05_118', 'GO24_118']	S001218
NM02	Gabe	Vasquez	D	[]	['AG00_118', 'AS00_118', 'AS03_118', 'AS29_118']	V000136
NM03	Teresa	Leger Fernandez	D	['II24_118']	['ED00_118', 'II00_118', 'RU00_118', 'ED13_118', 'II10_118']	L000273
NV01	Dina	Titus	D	['PW13_118']	['FA00_118', 'HM00_118', 'PW00_118', 'FA14_118', 'FA17_118', 'HM05_118', 'PW05_118', 'PW12_118']	T000468
NV02	Mark	Amodei	R	['AP24_118']	['AP00_118', 'JL00_118', 'AP06_118', 'AP23_118']	A000369
NV03	Susie	Lee	D	[]	['AP00_118', 'II00_118', 'AP10_118', 'AP18_118', 'II06_118', 'II15_118']	L000590
NV04	Steven	Horsford	D	[]	['AS00_118', 'BA00_118', 'AS02_118', 'AS25_118', 'BA04_118', 'BA09_118']	H001066
NY01	Nick	LaLota	R	['SM23_118']	['AS00_118', 'HM00_118', 'SM00_118', 'AS25_118', 'AS35_118', 'HM07_118', 'HM12_118', 'SM27_118']	L000598
NY02	Andrew	Garbarino	R	['HM08_118']	['BA00_118', 'HM00_118', 'SO00_118', 'BA04_118', 'BA16_118']	G000597
NY03	George	Santos	R	[]	[]	S001222
NY04	Anthony	D'Esposito	R	['HM12_118']	['HA00_118', 'HM00_118', 'PW00_118', 'HA06_118', 'HA08_118', 'HM05_118', 'PW05_118', 'PW12_118', 'PW13_118']	D000632
NY05	Gregory	Meeks	D	['FA00_118']	['BA00_118', 'BA16_118', 'BA20_118', 'FA05_118']	M001137
NY06	Grace	Meng	D	[]	['AP00_118', 'AP04_118', 'AP19_118']	M001188
NY07	Nydia	Velázquez	D	['SM00_118']	['BA00_118', 'II00_118', 'BA04_118', 'BA20_118', 'II06_118', 'II24_118']	V000081
NY08	Hakeem	Jeffries	D	[]	[]	J000294
NY09	Yvette	Clarke	D	[]	['HM00_118', 'IF00_118', 'HM09_118', 'IF16_118', 'IF17_118', 'IF18_118']	C001067
NY10	Daniel	Goldman	D	[]	['FD00_118', 'GO00_118', 'HM00_118', 'GO06_118', 'GO12_118', 'HM05_118', 'HM12_118']	G000599
NY11	Nicole	Malliotakis	R	[]	['VC00_118', 'WM00_118', 'WM05_118', 'WM06_118']	M000317
NY12	Jerrold	Nadler	D	['JU00_118']	[]	N000002
NY13	Adriano	Espaillat	D	['AP24_118']	['AP00_118', 'BU00_118', 'AP20_118']	E000297
NY14	Alexandria	Ocasio-Cortez	D	['II06_118']	['GO00_118', 'II00_118', 'GO06_118', 'GO27_118']	O000172
NY15	Ritchie	Torres	D	[]	['BA00_118', 'ZS00_118', 'BA04_118', 'BA21_118']	T000486
NY16	Jamaal	Bowman	D	['SY20_118']	['ED00_118', 'SY00_118', 'ED14_118', 'SY16_118']	B001223
NY17	Michael	Lawler	R	[]	['BA00_118', 'FA00_118', 'BA04_118', 'BA16_118', 'FA13_118', 'FA14_118']	L000599
NY18	Patrick	Ryan	D	[]	['AS00_118', 'PW00_118', 'AS25_118', 'AS35_118', 'PW02_118', 'PW12_118']	R000579
NY19	Marcus	Molinaro	R	['SM22_118']	['AG00_118', 'PW00_118', 'SM00_118', 'PW05_118', 'PW12_118', 'PW14_118', 'SM23_118']	M001221
NY20	Paul	Tonko	D	['IF18_118']	['IF00_118', 'SY00_118', 'IF02_118', 'IF03_118']	T000469
NY21	Elise	Stefanik	R	[]	['AS00_118', 'ED00_118', 'FD00_118', 'IG00_118', 'AS02_118', 'AS26_118', 'AS29_118', 'ED10_118', 'ED13_118', 'IG01_118']	S001196
NY22	Brandon	Williams	R	['SY20_118']	['ED00_118', 'PW00_118', 'SY00_118', 'ED13_118', 'ED14_118', 'PW02_118', 'PW12_118', 'PW14_118', 'SY15_118']	W000828
NY23	Nicholas	Langworthy	R	[]	['AG00_118', 'GO00_118', 'RU00_118', 'GO05_118', 'GO12_118', 'GO27_118']	L000600
NY24	Claudia	Tenney	R	[]	['SY00_118', 'WM00_118', 'SY20_118', 'WM02_118', 'WM03_118', 'WM06_118']	T000478
NY25	Joseph	Morelle	D	['HA00_118']	['AP00_118', 'JL00_118', 'JP00_118', 'AP10_118', 'AP19_118', 'HA27_118']	M001206
NY26	Brian	Higgins	D	[]	['BU00_118', 'WM00_118', 'WM01_118', 'WM02_118', 'WM04_118']	H001038
OH01	Greg	Landsman	D	['SM27_118']	['SM00_118', 'VR00_118', 'SM21_118', 'VR03_118', 'VR11_118']	L000601
OH02	Brad	Wenstrup	R	['VC00_118']	['IG00_118', 'WM00_118', 'IG04_118', 'IG06_118', 'WM02_118', 'WM03_118']	W000815
OH03	Joyce	Beatty	D	['BA01_118']	['BA00_118', 'BA20_118']	B001281
OH04	Jim	Jordan	R	['FD00_118', 'JU00_118']	['GO00_118']	J000289
OH05	Robert	Latta	R	['IF16_118']	['IF00_118', 'IF03_118', 'IF14_118']	L000566
OH06	Bill	Johnson	R	['IF18_118']	['IF00_118', 'IF03_118', 'IF14_118']	J000292
OH07	Max	Miller	R	['SY18_118']	['AG00_118', 'SY00_118', 'SY20_118', 'SY21_118']	M001222
OH08	Warren	Davidson	R	['BA04_118']	['BA00_118', 'FA00_118', 'BA21_118', 'FA05_118', 'FA07_118']	D000626
OH09	Marcy	Kaptur	D	['AP10_118']	['AP00_118', 'AP01_118', 'AP02_118']	K000009
OH10	Michael	Turner	R	['IG00_118']	['AS00_118', 'GO00_118', 'AS25_118', 'AS29_118']	T000463
OH11	Shontel	Brown	D	[]	['AG00_118', 'GO00_118', 'ZS00_118', 'GO05_118']	B001313
OH12	Troy	Balderson	R	[]	['IF00_118', 'IF03_118', 'IF16_118', 'IF18_118']	B001306
OH13	Emilia	Sykes	D	[]	['PW00_118', 'SY00_118', 'PW02_118', 'PW12_118', 'SY15_118']	S001223
OH14	David	Joyce	R	['AP15_118']	['AP00_118', 'SO00_118', 'AP02_118', 'AP23_118']	J000295
OH15	Mike	Carey	R	[]	['HA00_118', 'JL00_118', 'WM00_118', 'HA27_118', 'WM01_118', 'WM03_118']	C001126
OK01	Kevin	Hern	R	[]	['WM00_118', 'WM02_118', 'WM05_118']	H001082
OK02	Josh	Brecheen	R	[]	['BU00_118', 'HM00_118', 'HM11_118', 'HM12_118']	B001317
OK03	Frank	Lucas	R	['SY00_118']	['AG00_118', 'BA00_118', 'BA16_118', 'BA21_118']	L000491
OK04	Tom	Cole	R	['RU00_118', 'AP20_118']	['AP00_118', 'AP02_118']	C001053
OK05	Stephanie	Bice	R	['HA27_118']	['AP00_118', 'BU00_118', 'HA00_118', 'SY00_118', 'AP10_118', 'AP18_118', 'AP24_118', 'HA08_118', 'SY20_118']	B000740
OR01	Suzanne	Bonamici	D	['ED14_118']	['ED00_118', 'SY00_118', 'ED13_118', 'SY15_118', 'SY18_118']	B001278
OR02	Cliff	Bentz	R	['II13_118']	['II00_118', 'JU00_118', 'II10_118', 'JU03_118', 'JU05_118']	B000668
OR03	Earl	Blumenauer	D	['WM04_118']	['BU00_118', 'WM00_118', 'WM02_118']	B000574
OR04	Val	Hoyle	D	[]	['II00_118', 'PW00_118', 'II13_118', 'PW02_118', 'PW12_118']	H001094
OR05	Lori	Chavez-DeRemer	R	[]	['AG00_118', 'ED00_118', 'PW00_118', 'ED02_118', 'ED13_118', 'PW05_118', 'PW12_118', 'PW13_118']	C001135
OR06	Andrea	Salinas	D	[]	['AG00_118', 'SY00_118', 'SY15_118', 'SY20_118']	S001226
PA01	Brian	Fitzpatrick	R	['IG06_118']	['IG00_118', 'WM00_118', 'IG04_118', 'WM02_118', 'WM06_118']	F000466
PA02	Brendan	Boyle	D	['BU00_118']	[]	B001296
PA03	Dwight	Evans	D	[]	['WM00_118', 'WM02_118', 'WM03_118']	E000296
PA04	Madeleine	Dean	D	[]	['FA00_118', 'JU00_118', 'FA14_118', 'FA17_118', 'JU03_118', 'JU08_118']	D000631
PA05	Mary	Scanlon	D	['JU10_118']	['JU00_118', 'RU00_118', 'JU05_118']	S001205
PA06	Chrissy	Houlahan	D	['IG04_118']	['AS00_118', 'IG00_118', 'AS02_118', 'AS29_118']	H001085
PA07	Susan	Wild	D	['SO00_118', 'FA06_118']	['ED00_118', 'FA00_118', 'ED02_118', 'FA14_118']	W000826
PA08	Matt	Cartwright	D	['AP19_118']	['AP00_118', 'AP23_118']	C001090
PA09	Daniel	Meuser	R	['SM27_118']	['BA00_118', 'SM00_118', 'BA01_118', 'BA09_118', 'BA16_118', 'SM21_118']	M001204
PA10	Scott	Perry	R	['PW13_118']	['FA00_118', 'GO00_118', 'PW00_118', 'FA17_118', 'GO05_118', 'GO06_118', 'PW05_118']	P000605
PA11	Lloyd	Smucker	R	[]	['BU00_118', 'ED00_118', 'WM00_118', 'ED02_118', 'ED13_118', 'WM03_118', 'WM04_118', 'WM05_118']	S001199
PA12	Summer	Lee	D	[]	['GO00_118', 'SY00_118', 'GO24_118', 'GO27_118', 'SY20_118']	L000602
PA13	John	Joyce	R	[]	['IF00_118', 'VC00_118', 'IF14_118', 'IF16_118', 'IF18_118']	J000302
PA14	Guy	Reschenthaler	R	[]	['AP00_118', 'RU00_118', 'AP04_118', 'AP06_118', 'AP10_118']	R000610
PA15	Glenn	Thompson	R	['AG00_118']	['ED00_118', 'ED13_118', 'ED14_118']	T000467
PA16	Mike	Kelly	R	['WM05_118']	['WM00_118', 'WM02_118']	K000376
PA17	Christopher	Deluzio	D	[]	['AS00_118', 'VR00_118', 'AS28_118', 'AS35_118', 'VR03_118', 'VR09_118']	D000530
PR00	Jenniffer	González-Colón	R	[]	['II00_118', 'PW00_118', 'II13_118', 'II24_118', 'PW02_118', 'PW07_118', 'PW13_118']	G000582
RI01	David	Cicilline	D	['JU05_118']	['FA00_118', 'JU00_118', 'FA13_118', 'FA14_118', 'JU01_118', 'JU08_118']	C001084
RI02	Seth	Magaziner	D	['HM05_118']	['HM00_118', 'II00_118', 'II06_118', 'II13_118']	M001223
SC01	Nancy	Mace	R	['GO12_118']	['AS00_118', 'GO00_118', 'VR00_118', 'AS26_118', 'AS28_118', 'GO06_118', 'VR10_118', 'VR11_118']	M000194
SC02	Joe	Wilson	R	['FA13_118']	['AS00_118', 'ED00_118', 'FA00_118', 'AS03_118', 'AS29_118', 'ED02_118', 'FA14_118']	W000795
SC03	Jeff	Duncan	R	['IF03_118']	['IF00_118', 'IF02_118', 'IF17_118']	D000615
SC04	William	Timmons	R	[]	['BA00_118', 'GO00_118', 'BA20_118', 'BA21_118', 'GO12_118', 'GO24_118']	T000480
SC05	Ralph	Norman	R	[]	['BA00_118', 'BU00_118', 'RU00_118', 'BA04_118', 'BA20_118']	N000190
SC06	James	Clyburn	D	[]	[]	C000537
SC07	Russell	Fry	R	[]	['GO00_118', 'JU00_118', 'GO05_118', 'GO24_118', 'GO27_118', 'JU03_118', 'JU08_118', 'JU10_118']	F000478
SD00	Dusty	Johnson	R	[]	['AG00_118', 'PW00_118', 'ZS00_118', 'PW05_118', 'PW12_118', 'PW14_118']	J000301
TN01	Diana	Harshbarger	R	[]	['IF00_118', 'IF14_118', 'IF16_118', 'IF17_118']	H001086
TN02	Tim	Burchett	R	[]	['FA00_118', 'GO00_118', 'PW00_118', 'FA13_118', 'FA17_118', 'GO12_118', 'GO24_118', 'PW05_118', 'PW12_118', 'PW14_118']	B001309
TN03	Charles	Fleischmann	R	['AP10_118']	['AP00_118', 'SY00_118', 'AP04_118', 'AP07_118', 'SY20_118']	F000459
TN04	Scott	DesJarlais	R	[]	['AG00_118', 'AS00_118', 'AS28_118', 'AS29_118']	D000616
TN05	Andrew	Ogles	R	[]	['BA00_118', 'BA01_118', 'BA09_118', 'BA20_118']	O000175
TN06	John	Rose	R	[]	['AG00_118', 'BA00_118', 'BA09_118', 'BA20_118', 'BA21_118']	R000612
TN07	Mark	Green	R	['HM00_118']	['FA00_118', 'FA05_118', 'FA07_118']	G000590
TN08	David	Kustoff	R	[]	['WM00_118', 'WM01_118', 'WM04_118', 'WM05_118']	K000392
TN09	Steve	Cohen	D	['PW05_118']	['JU00_118', 'PW00_118', 'JU05_118', 'JU08_118', 'JU10_118', 'PW12_118', 'PW14_118']	C001068
TX01	Nathaniel	Moran	R	[]	['ED00_118', 'FA00_118', 'JU00_118', 'ED13_118', 'ED14_118', 'FA14_118', 'FA17_118', 'JU03_118', 'JU05_118', 'JU13_118']	M001224
TX02	Dan	Crenshaw	R	[]	['IF00_118', 'IG00_118', 'IF02_118', 'IF14_118', 'IF18_118', 'IG01_118', 'IG06_118']	C001120
TX03	Keith	Self	R	[]	['FA00_118', 'VR00_118', 'FA07_118', 'FA14_118', 'VR09_118', 'VR11_118']	S001224
TX04	Pat	Fallon	R	['GO05_118']	['AS00_118', 'GO00_118', 'AS25_118', 'AS35_118', 'GO06_118']	F000246
TX05	Lance	Gooden	R	[]	['JU00_118', 'PW00_118', 'JU03_118', 'JU05_118', 'PW05_118', 'PW12_118', 'PW14_118']	G000589
TX06	Jake	Ellzey	R	[]	['AP00_118', 'SM00_118', 'AP06_118', 'AP07_118', 'AP19_118', 'SM22_118', 'SM23_118']	E000071
TX07	Lizzie	Fletcher	D	[]	['IF00_118', 'IF03_118', 'IF16_118']	F000468
TX08	Morgan	Luttrell	R	['VR09_118']	['AS00_118', 'HM00_118', 'VR00_118', 'AS26_118', 'AS35_118', 'HM08_118', 'HM11_118', 'VR03_118']	L000603
TX09	Al	Green	D	['BA09_118']	['BA00_118', 'BA20_118', 'BA21_118']	G000553
TX10	Michael	McCaul	R	['FA00_118']	['HM00_118']	M001157
TX11	August	Pfluger	R	['HM05_118']	['HM00_118', 'IF00_118', 'IF03_118', 'IF16_118', 'IF18_118']	P000048
TX12	Kay	Granger	R	['AP00_118']	[]	G000377
TX13	Ronny	Jackson	R	[]	['AG00_118', 'AS00_118', 'FA00_118', 'VC00_118', 'AS26_118', 'AS28_118', 'FA13_118']	J000304
TX14	Randy	Weber	R	[]	['IF00_118', 'SY00_118', 'IF03_118', 'IF16_118', 'IF18_118', 'SY20_118']	W000814
TX15	Monica	De La Cruz	R	[]	['AG00_118', 'BA00_118', 'BA01_118', 'BA04_118', 'BA20_118']	D000594
TX16	Veronica	Escobar	D	[]	['AS00_118', 'JU00_118', 'SO00_118', 'AS02_118', 'AS03_118', 'JU01_118', 'JU10_118']	E000299
TX17	Pete	Sessions	R	['GO24_118']	['BA00_118', 'GO00_118', 'BA09_118', 'BA16_118', 'GO06_118']	S000250
TX18	Sheila	Jackson Lee	D	['JU08_118']	['BU00_118', 'HM00_118', 'JU00_118', 'HM08_118', 'HM11_118', 'JU01_118', 'JU10_118']	J000032
TX19	Jodey	Arrington	R	['BU00_118']	['WM00_118', 'WM04_118', 'WM05_118']	A000375
TX20	Joaquin	Castro	D	['FA07_118']	['FA00_118', 'IG00_118', 'FA05_118', 'IG01_118', 'IG02_118']	C001091
TX21	Chip	Roy	R	[]	['BU00_118', 'JU00_118', 'RU00_118', 'JU01_118', 'JU10_118']	R000614
TX22	Troy	Nehls	R	['PW14_118']	['JU00_118', 'PW00_118', 'JU01_118', 'JU08_118', 'PW12_118']	N000026
TX23	Tony	Gonzales	R	[]	['AP00_118', 'HM00_118', 'AP18_118', 'AP19_118', 'AP20_118', 'HM05_118', 'HM11_118']	G000594
TX24	Beth	Van Duyne	R	['SM24_118']	['SM00_118', 'WM00_118', 'SM27_118', 'WM05_118', 'WM06_118']	V000134
TX25	Roger	Williams	R	['SM00_118']	['BA00_118', 'BA01_118', 'BA20_118']	W000816
TX26	Michael	Burgess	R	[]	['BU00_118', 'IF00_118', 'RU00_118', 'IF02_118', 'IF03_118', 'IF14_118']	B001248
TX27	Michael	Cloud	R	[]	['AP00_118', 'VC00_118', 'AP06_118', 'AP15_118', 'AP23_118']	C001115
TX28	Henry	Cuellar	D	['AP15_118']	['AP00_118', 'AP02_118', 'AP18_118']	C001063
TX29	Sylvia	Garcia	D	[]	['BA00_118', 'FD00_118', 'BA04_118', 'BA09_118']	G000587
TX30	Jasmine	Crockett	D	[]	['AG00_118', 'GO00_118', 'GO24_118', 'GO27_118']	C001130
TX31	John	Carter	R	['AP18_118']	['AP00_118', 'AP02_118', 'AP19_118']	C001051
TX32	Colin	Allred	D	[]	['FA00_118', 'FD00_118', 'PW00_118', 'FA16_118', 'FA17_118', 'PW05_118', 'PW12_118']	A000376
TX33	Marc	Veasey	D	[]	['AS00_118', 'IF00_118', 'AS03_118', 'IF03_118', 'IF16_118']	V000131
TX34	Vicente	Gonzalez	D	[]	['BA00_118', 'BA01_118', 'BA16_118']	G000581
TX35	Greg	Casar	D	[]	['AG00_118', 'GO00_118', 'GO24_118', 'GO27_118']	C001131
TX36	Brian	Babin	R	['SY16_118']	['PW00_118', 'SY00_118', 'PW02_118', 'PW07_118', 'PW14_118', 'SY21_118']	B001291
TX37	Lloyd	Doggett	D	['WM02_118']	['BU00_118', 'WM00_118', 'WM05_118']	D000399
TX38	Wesley	Hunt	R	['SM21_118']	['II00_118', 'JU00_118', 'SM00_118', 'II06_118', 'II15_118', 'JU01_118', 'JU10_118', 'SM24_118']	H001095
UT01	Blake	Moore	R	[]	['BU00_118', 'WM00_118', 'WM01_118', 'WM02_118', 'WM03_118']	M001213
UT02	Chris	Stewart	R	['IG09_118']	['AP00_118', 'FD00_118', 'IG00_118', 'AP02_118', 'AP04_118', 'AP06_118', 'IG04_118']	S001192
UT03	John	Curtis	R	[]	['IF00_118', 'II00_118', 'IF03_118', 'IF16_118', 'II06_118', 'II10_118']	C001114
UT04	Burgess	Owens	R	['ED13_118']	['ED00_118', 'PW00_118', 'ED14_118', 'PW02_118', 'PW05_118', 'PW12_118']	O000086
VA01	Robert	Wittman	R	['AS25_118']	['AS00_118', 'II00_118', 'ZS00_118', 'AS28_118', 'II06_118', 'II13_118']	W000804
VA02	Jennifer	Kiggans	R	['VR08_118']	['AS00_118', 'II00_118', 'VR00_118', 'AS03_118', 'AS28_118', 'AS35_118', 'II10_118', 'II13_118', 'VR03_118']	K000399
VA03	Robert	Scott	D	['ED00_118']	['BU00_118']	S000185
VA04	Jennifer	McClellan	D	[]	['AS00_118', 'SY00_118']	M001227
VA05	Bob	Good	R	['ED02_118']	['BU00_118', 'ED00_118', 'ED13_118']	G000595
VA06	Ben	Cline	R	['JU13_118']	['AP00_118', 'BU00_118', 'JU00_118', 'AP01_118', 'AP19_118', 'AP20_118', 'JU03_118', 'JU05_118']	C001118
VA07	Abigail	Spanberger	D	[]	['AG00_118', 'IG00_118', 'IG04_118', 'IG06_118']	S001209
VA08	Donald	Beyer	D	[]	['WM00_118', 'WM04_118', 'WM05_118']	B001292
VA09	H.	Griffith	R	['IF02_118']	['HA00_118', 'IF00_118', 'JP00_118', 'HA06_118', 'IF03_118', 'IF14_118']	G000568
VA10	Jennifer	Wexton	D	[]	['AP00_118', 'BU00_118', 'AP20_118', 'AP24_118']	W000825
VA11	Gerald	Connolly	D	['GO12_118']	['FA00_118', 'FD00_118', 'GO00_118', 'FA05_118', 'FA13_118', 'GO24_118']	C001078
VI00	Stacey	Plaskett	D	['FD00_118', 'IG06_118']	['IG00_118', 'IG04_118']	P000610
VT00	Becca	Balint	D	[]	['BU00_118', 'GO00_118', 'GO24_118', 'GO27_118']	B001318
WA01	Suzan	DelBene	D	[]	['WM00_118', 'WM04_118', 'WM05_118', 'WM06_118']	D000617
WA02	Rick	Larsen	D	['PW00_118']	[]	L000560
WA03	Marie	Perez	D	['SM21_118']	['AG00_118', 'SM00_118', 'SM24_118']	G000600
WA04	Dan	Newhouse	R	[]	['AP00_118', 'ZS00_118', 'AP01_118', 'AP10_118', 'AP15_118']	N000189
WA05	Cathy	Rodgers	R	['IF00_118']	[]	M001159
WA06	Derek	Kilmer	D	['HA27_118']	['AP00_118', 'HA00_118', 'JP00_118', 'AP02_118', 'AP06_118', 'AP10_118', 'HA06_118']	K000381
WA07	Pramila	Jayapal	D	['JU01_118']	['ED00_118', 'JU00_118', 'ED02_118', 'ED13_118', 'JU05_118']	J000298
WA08	Kim	Schrier	D	[]	['IF00_118', 'IF03_118', 'IF14_118']	S001216
WA09	Adam	Smith	D	['AS00_118']	[]	S000510
WA10	Marilyn	Strickland	D	[]	['AS00_118', 'PW00_118', 'AS02_118', 'AS03_118', 'PW12_118', 'PW14_118']	S001159
WI01	Bryan	Steil	R	['HA00_118', 'JL00_118', 'JP00_118']	['BA00_118', 'BA16_118', 'BA21_118']	S001213
WI02	Mark	Pocan	D	[]	['AP00_118', 'AP07_118', 'AP23_118']	P000607
WI03	Derrick	Van Orden	R	['VR10_118']	['AG00_118', 'PW00_118', 'VR00_118', 'PW02_118', 'PW12_118', 'PW13_118', 'VR03_118']	V000135
