district,firstname,lastname,party
MI07,Elissa,Slotkin,D
MI08,Daniel,Kildee,D
MI09,Lisa,McClain,R
MI10,John,James,R
MI11,Haley,Stevens,D
MI12,Rashida,Tlaib,D
MI13,Shri,Thanedar,D
MN01,Brad,Finstad,R
MN02,Angie,Craig,D
MN03,Dean,Phillips,D
MN04,Betty,McCollum,D
MN05,Ilhan,Omar,D
MN06,Tom,Emmer,R
MN07,Michelle,Fischbach,R
MN08,Pete,Stauber,R
MO01,Cori,Bush,D
MO02,Ann,Wagner,R
MO03,Blaine,Luetkemeyer,R
MO04,Mark,Alford,R
MO05,Emanuel,Cleaver,D
MO06,Sam,Graves,R
MO07,Eric,Burlison,R
MO08,Jason,Smith,R
MP00,Gregorio,Sablan,D
MS01,Trent,Kelly,R
MS02,Bennie,Thompson,D
MS03,Michael,Guest,R
MS04,Mike,Ezell,R
MT01,Ryan,Zinke,R
MT02,Matthew,Rosendale,R
NC01,Donald,Davis,D
NC02,Deborah,Ross,D
NC03,Gregory,Murphy,R
NC04,Valerie,Foushee,D
NC05,Virginia,Foxx,R
NC06,Kathy,Manning,D
NC07,David,Rouzer,R
NC08,Dan,Bishop,R
NC09,Richard,Hudson,R
NC10,Patrick,McHenry,R
NC11,Chuck,Edwards,R
NC12,Alma,Adams,D
NC13,Wiley,Nickel,D
NC14,Jeff,Jackson,D
ND00,Kelly,Armstrong,R
NE01,Mike,Flood,R
NE02,Don,Bacon,R
NE03,Adrian,Smith,R
NH01,Chris,Pappas,D
NH02,Ann,Kuster,D
NJ01,Donald,Norcross,D
NJ02,Jefferson,Van Drew,R
NJ03,Andy,Kim,D
NJ04,Christopher,Smith,R
NJ05,Josh,Gottheimer,D
NJ06,Frank,Pallone,D
NJ07,Thomas,Kean,R
NJ08,Robert,Menendez,D
NJ09,Bill,Pascrell,D
NJ10,Donald,Payne,D
NJ11,Mikie,Sherrill,D
NJ12,Bonnie,Watson Coleman,D
NM01,Melanie,Stansbury,D
NM02,Gabe,Vasquez,D
NM03,Teresa,Leger Fernandez,D
NV01,Dina,Titus,D
NV02,Mark,Amodei,R
NV03,Susie,Lee,D
NV04,Steven,Horsford,D
NY01,Nick,LaLota,R
NY02,Andrew,Garbarino,R
NY03,George,Santos,R
NY04,Anthony,D'Esposito,R
NY05,Gregory,Meeks,D
NY06,Grace,Meng,D
