unitid,effydlev,xeydetot,efydetot,xeydeexc,efydeexc,xeydesom,efydesom,xeydenon,efydenon
101286,Undergraduate total,R,5088,R,1291.0,R,1988.0,R,1809.0
101286,"Undergraduate, degree/certificate-seeking",R,4167,R,990.0,R,1774.0,R,1403.0
101286,"Undergraduate, non-degree/certificate-seeking",R,921,R,301.0,R,214.0,R,406.0
101295,All students total,R,6298,R,1406.0,R,3141.0,R,1751.0
101295,Undergraduate total,R,6298,R,1406.0,R,3141.0,R,1751.0
101295,"Undergraduate, degree/certificate-seeking",R,5444,R,1146.0,R,2875.0,R,1423.0
101295,"Undergraduate, non-degree/certificate-seeking",R,854,R,260.0,R,266.0,R,328.0
101301,All students total,R,2104,R,814.0,R,693.0,R,597.0
101301,Undergraduate total,R,2104,R,814.0,R,693.0,R,597.0
101301,"Undergraduate, degree/certificate-seeking",R,1401,R,469.0,R,572.0,R,360.0
101301,"Undergraduate, non-degree/certificate-seeking",R,703,R,345.0,R,121.0,R,237.0
101365,All students total,R,1215,R,403.0,R,353.0,R,459.0
101365,Undergraduate total,R,1196,R,384.0,R,353.0,R,459.0
101365,"Undergraduate, degree/certificate-seeking",R,1194,R,382.0,R,353.0,R,459.0
101365,"Undergraduate, non-degree/certificate-seeking",R,2,R,2.0,R,0.0,R,0.0
101365,Graduate,R,19,R,19.0,R,0.0,R,0.0
101435,All students total,R,995,R,164.0,R,184.0,R,647.0
101435,Undergraduate total,R,991,R,164.0,R,184.0,R,643.0
101435,"Undergraduate, degree/certificate-seeking",R,986,R,163.0,R,184.0,R,639.0
101435,"Undergraduate, non-degree/certificate-seeking",R,5,R,1.0,R,0.0,R,4.0
101435,Graduate,R,4,R,0.0,R,0.0,R,4.0
101453,All students total,R,150,R,111.0,R,18.0,R,21.0
101453,Undergraduate total,R,99,R,65.0,R,15.0,R,19.0
101453,"Undergraduate, degree/certificate-seeking",R,96,R,62.0,R,15.0,R,19.0
101453,"Undergraduate, non-degree/certificate-seeking",R,3,R,3.0,R,0.0,R,0.0
101453,Graduate,R,51,R,46.0,R,3.0,R,2.0
101462,All students total,R,1191,R,190.0,R,676.0,R,325.0
101462,Undergraduate total,R,1191,R,190.0,R,676.0,R,325.0
101462,"Undergraduate, degree/certificate-seeking",R,891,R,81.0,R,586.0,R,224.0
101462,"Undergraduate, non-degree/certificate-seeking",R,300,R,109.0,R,90.0,R,101.0
101471,All students total,R,626,A,,A,,R,626.0
101471,Undergraduate total,R,626,A,,A,,R,626.0
101471,"Undergraduate, degree/certificate-seeking",R,626,A,,A,,R,626.0
101480,All students total,R,10752,R,3018.0,R,6402.0,R,1332.0
101480,Undergraduate total,R,8904,R,1749.0,R,5885.0,R,1270.0
101480,"Undergraduate, degree/certificate-seeking",R,7408,R,1187.0,R,5665.0,R,556.0
101480,"Undergraduate, non-degree/certificate-seeking",R,1496,R,562.0,R,220.0,R,714.0
101480,Graduate,R,1848,R,1269.0,R,517.0,R,62.0
101505,All students total,R,12293,R,9108.0,R,1595.0,R,1590.0
101505,Undergraduate total,R,12293,R,9108.0,R,1595.0,R,1590.0
101505,"Undergraduate, degree/certificate-seeking",R,8398,R,6543.0,R,1304.0,R,551.0
101505,"Undergraduate, non-degree/certificate-seeking",R,3895,R,2565.0,R,291.0,R,1039.0
101514,All students total,R,12424,R,8265.0,R,2130.0,R,2029.0
101514,Undergraduate total,R,12424,R,8265.0,R,2130.0,R,2029.0
101514,"Undergraduate, degree/certificate-seeking",R,8807,R,6022.0,R,1799.0,R,986.0
101514,"Undergraduate, non-degree/certificate-seeking",R,3617,R,2243.0,R,331.0,R,1043.0
101569,All students total,R,4239,R,2651.0,R,1071.0,R,517.0
101569,Undergraduate total,R,4239,R,2651.0,R,1071.0,R,517.0
101569,"Undergraduate, degree/certificate-seeking",R,3618,R,2117.0,R,1041.0,R,460.0
101569,"Undergraduate, non-degree/certificate-seeking",R,621,R,534.0,R,30.0,R,57.0
101587,All students total,R,8711,R,7070.0,R,1146.0,R,495.0
101587,Undergraduate total,R,2900,R,1397.0,R,1017.0,R,486.0
101587,"Undergraduate, degree/certificate-seeking",R,2872,R,1381.0,R,1005.0,R,486.0
101587,"Undergraduate, non-degree/certificate-seeking",R,28,R,16.0,R,12.0,R,0.0
101587,Graduate,R,5811,R,5673.0,R,129.0,R,9.0
101602,All students total,R,2295,R,465.0,R,1107.0,R,723.0
101602,Undergraduate total,R,2295,R,465.0,R,1107.0,R,723.0
101602,"Undergraduate, degree/certificate-seeking",R,1478,R,232.0,R,889.0,R,357.0
101602,"Undergraduate, non-degree/certificate-seeking",R,817,R,233.0,R,218.0,R,366.0
101648,All students total,R,423,R,0.0,R,188.0,R,235.0
101648,Undergraduate total,R,423,R,0.0,R,188.0,R,235.0
101648,"Undergraduate, degree/certificate-seeking",R,423,R,0.0,R,188.0,R,235.0
101675,All students total,R,1649,R,200.0,R,136.0,R,1313.0
101675,Undergraduate total,R,1649,R,200.0,R,136.0,R,1313.0
101675,"Undergraduate, degree/certificate-seeking",R,1644,R,199.0,R,136.0,R,1309.0
101675,"Undergraduate, non-degree/certificate-seeking",R,5,R,1.0,R,0.0,R,4.0
101693,All students total,R,2108,R,283.0,R,624.0,R,1201.0
101693,Undergraduate total,R,1818,R,138.0,R,581.0,R,1099.0
101693,"Undergraduate, degree/certificate-seeking",R,1227,R,113.0,R,466.0,R,648.0
101693,"Undergraduate, non-degree/certificate-seeking",R,591,R,25.0,R,115.0,R,451.0
101693,Graduate,R,290,R,145.0,R,43.0,R,102.0
101709,All students total,R,2960,R,482.0,R,2298.0,R,180.0
101709,Undergraduate total,R,2476,R,352.0,R,1959.0,R,165.0
101709,"Undergraduate, degree/certificate-seeking",R,2465,R,348.0,R,1955.0,R,162.0
101709,"Undergraduate, non-degree/certificate-seeking",R,11,R,4.0,R,4.0,R,3.0
101709,Graduate,R,484,R,130.0,R,339.0,R,15.0
101736,All students total,R,4416,R,834.0,R,1676.0,R,1906.0
101736,Undergraduate total,R,4416,R,834.0,R,1676.0,R,1906.0
101736,"Undergraduate, degree/certificate-seeking",R,3017,R,585.0,R,1395.0,R,1037.0
101736,"Undergraduate, non-degree/certificate-seeking",R,1399,R,249.0,R,281.0,R,869.0
101879,All students total,R,10003,R,4479.0,R,4752.0,R,772.0
101879,Undergraduate total,R,7149,R,1988.0,R,4447.0,R,714.0
101879,"Undergraduate, degree/certificate-seeking",R,5972,R,1040.0,R,4403.0,R,529.0
101879,"Undergraduate, non-degree/certificate-seeking",R,1177,R,948.0,R,44.0,R,185.0
101879,Graduate,R,2854,R,2491.0,R,305.0,R,58.0
101897,All students total,R,3469,R,1318.0,R,1635.0,R,516.0
101897,Undergraduate total,R,3469,R,1318.0,R,1635.0,R,516.0
101897,"Undergraduate, degree/certificate-seeking",R,2123,R,781.0,R,1070.0,R,272.0
101897,"Undergraduate, non-degree/certificate-seeking",R,1346,R,537.0,R,565.0,R,244.0
101912,All students total,R,1970,R,147.0,R,84.0,R,1739.0
101912,Undergraduate total,R,1870,R,88.0,R,50.0,R,1732.0
101912,"Undergraduate, degree/certificate-seeking",R,1840,R,88.0,R,20.0,R,1732.0
101912,"Undergraduate, non-degree/certificate-seeking",R,30,Z,0.0,R,30.0,R,0.0
101912,Graduate,R,100,R,59.0,R,34.0,R,7.0
101994,All students total,R,441,R,6.0,R,228.0,R,207.0
101994,Undergraduate total,R,441,R,6.0,R,228.0,R,207.0
101994,"Undergraduate, degree/certificate-seeking",R,340,R,4.0,R,199.0,R,137.0
101994,"Undergraduate, non-degree/certificate-seeking",R,101,R,2.0,R,29.0,R,70.0
102030,All students total,R,3549,R,689.0,R,1486.0,R,1374.0
102030,Undergraduate total,R,3549,R,689.0,R,1486.0,R,1374.0
102030,"Undergraduate, degree/certificate-seeking",R,2540,R,322.0,R,1358.0,R,860.0
102030,"Undergraduate, non-degree/certificate-seeking",R,1009,R,367.0,R,128.0,R,514.0
102049,All students total,R,6160,R,399.0,R,4001.0,R,1760.0
102049,Undergraduate total,R,3684,R,83.0,R,2353.0,R,1248.0
102049,"Undergraduate, degree/certificate-seeking",R,3667,R,71.0,R,2353.0,R,1243.0
102049,"Undergraduate, non-degree/certificate-seeking",R,17,R,12.0,R,0.0,R,5.0
102049,Graduate,R,2476,R,316.0,R,1648.0,R,512.0
102067,All students total,R,5769,R,3419.0,R,1683.0,R,667.0
102067,Undergraduate total,R,5769,R,3419.0,R,1683.0,R,667.0
102067,"Undergraduate, degree/certificate-seeking",R,4192,R,2172.0,R,1542.0,R,478.0
102067,"Undergraduate, non-degree/certificate-seeking",R,1577,R,1247.0,R,141.0,R,189.0
102076,All students total,R,4006,R,2627.0,R,1095.0,R,284.0
102076,Undergraduate total,R,4006,R,2627.0,R,1095.0,R,284.0
102076,"Undergraduate, degree/certificate-seeking",R,1967,R,876.0,R,916.0,R,175.0
102076,"Undergraduate, non-degree/certificate-seeking",R,2039,R,1751.0,R,179.0,R,109.0
102094,All students total,R,16311,R,4926.0,R,5241.0,R,6144.0
102094,Undergraduate total,R,10147,R,735.0,R,4732.0,R,4680.0
102094,"Undergraduate, degree/certificate-seeking",R,9694,R,521.0,R,4656.0,R,4517.0
102094,"Undergraduate, non-degree/certificate-seeking",R,453,R,214.0,R,76.0,R,163.0
102094,Graduate,R,6164,R,4191.0,R,509.0,R,1464.0
102234,All students total,R,1322,R,189.0,R,1062.0,R,71.0
102234,Undergraduate total,R,1133,R,61.0,R,1025.0,R,47.0
102234,"Undergraduate, degree/certificate-seeking",R,1130,R,58.0,R,1025.0,R,47.0
102234,"Undergraduate, non-degree/certificate-seeking",R,3,R,3.0,R,0.0,R,0.0
102234,Graduate,R,189,R,128.0,R,37.0,R,24.0
102270,All students total,R,829,R,51.0,R,535.0,R,243.0
102270,Undergraduate total,R,829,R,51.0,R,535.0,R,243.0
102270,"Undergraduate, degree/certificate-seeking",R,796,R,51.0,R,535.0,R,210.0
102270,"Undergraduate, non-degree/certificate-seeking",R,33,R,0.0,R,0.0,R,33.0
102298,All students total,R,1398,R,246.0,R,990.0,R,162.0
102298,Undergraduate total,R,1380,R,228.0,R,990.0,R,162.0
102298,"Undergraduate, degree/certificate-seeking",R,1380,R,228.0,R,990.0,R,162.0
102298,Graduate,R,18,R,18.0,Z,0.0,R,0.0
102313,All students total,R,2294,R,1027.0,R,1048.0,R,219.0
102313,Undergraduate total,R,2294,R,1027.0,R,1048.0,R,219.0
102313,"Undergraduate, degree/certificate-seeking",R,2071,R,859.0,R,1023.0,R,189.0
102313,"Undergraduate, non-degree/certificate-seeking",R,223,R,168.0,R,25.0,R,30.0
102368,All students total,R,20866,R,11886.0,R,4721.0,R,4259.0
102368,Undergraduate total,R,15353,R,7850.0,R,4093.0,R,3410.0
102368,"Undergraduate, degree/certificate-seeking",R,14706,R,7256.0,R,4072.0,R,3378.0
102368,"Undergraduate, non-degree/certificate-seeking",R,647,R,594.0,R,21.0,R,32.0
102368,Graduate,R,5513,R,4036.0,R,628.0,R,849.0
102377,All students total,R,3058,R,2.0,R,0.0,R,3056.0
102377,Undergraduate total,R,2537,A,,A,,R,2537.0
102377,"Undergraduate, degree/certificate-seeking",R,2537,A,,A,,R,2537.0
102377,Graduate,R,521,R,2.0,R,0.0,R,519.0
102395,All students total,R,446,R,446.0,R,0.0,R,0.0
102395,Undergraduate total,R,171,R,171.0,R,0.0,R,0.0
102395,"Undergraduate, degree/certificate-seeking",R,154,R,154.0,R,0.0,R,0.0
102395,"Undergraduate, non-degree/certificate-seeking",R,17,R,17.0,R,0.0,R,0.0
102395,Graduate,R,275,R,275.0,R,0.0,R,0.0
102429,All students total,R,4595,R,1570.0,R,1660.0,R,1365.0
102429,Undergraduate total,R,4595,R,1570.0,R,1660.0,R,1365.0
102429,"Undergraduate, degree/certificate-seeking",R,3133,R,937.0,R,1259.0,R,937.0
102429,"Undergraduate, non-degree/certificate-seeking",R,1462,R,633.0,R,401.0,R,428.0
102553,All students total,R,19093,R,13228.0,R,3755.0,R,2110.0
102553,Undergraduate total,R,18227,R,12584.0,R,3607.0,R,2036.0
102553,"Undergraduate, degree/certificate-seeking",R,9945,R,6633.0,R,3076.0,R,236.0
102553,"Undergraduate, non-degree/certificate-seeking",R,8282,R,5951.0,R,531.0,R,1800.0
102553,Graduate,R,866,R,644.0,R,148.0,R,74.0
102580,All students total,R,43,R,0.0,R,5.0,R,38.0
102580,Undergraduate total,R,43,R,0.0,R,5.0,R,38.0
102580,"Undergraduate, degree/certificate-seeking",R,38,R,0.0,R,5.0,R,33.0
102580,"Undergraduate, non-degree/certificate-seeking",R,5,R,0.0,R,0.0,R,5.0
102614,All students total,R,10725,R,6113.0,R,2831.0,R,1781.0
102614,Undergraduate total,R,9527,R,5457.0,R,2416.0,R,1654.0
102614,"Undergraduate, degree/certificate-seeking",R,5288,R,2952.0,R,2116.0,R,220.0
102614,"Undergraduate, non-degree/certificate-seeking",R,4239,R,2505.0,R,300.0,R,1434.0
102614,Graduate,R,1198,R,656.0,R,415.0,R,127.0
102632,All students total,R,3470,R,2053.0,R,638.0,R,779.0
102632,Undergraduate total,R,3100,R,1838.0,R,501.0,R,761.0
102632,"Undergraduate, degree/certificate-seeking",R,1325,R,843.0,R,370.0,R,112.0
102632,"Undergraduate, non-degree/certificate-seeking",R,1775,R,995.0,R,131.0,R,649.0
102632,Graduate,R,370,R,215.0,R,137.0,R,18.0
102669,All students total,R,591,R,484.0,R,101.0,R,6.0
102669,Undergraduate total,R,391,R,301.0,R,90.0,R,0.0
102669,"Undergraduate, degree/certificate-seeking",R,364,R,274.0,R,90.0,R,0.0
102669,"Undergraduate, non-degree/certificate-seeking",R,27,R,27.0,R,0.0,R,0.0
102669,Graduate,R,200,R,183.0,R,11.0,R,6.0
102711,All students total,R,801,A,,A,,R,801.0
102711,Undergraduate total,R,801,A,,A,,R,801.0
102711,"Undergraduate, degree/certificate-seeking",R,801,A,,A,,R,801.0
102845,All students total,R,4002,R,881.0,R,2861.0,R,260.0
102845,Undergraduate total,R,4002,R,881.0,R,2861.0,R,260.0
102845,"Undergraduate, degree/certificate-seeking",R,4002,R,881.0,R,2861.0,R,260.0
103501,All students total,R,553,A,,A,,R,553.0
103501,Undergraduate total,R,553,A,,A,,R,553.0
103501,"Undergraduate, degree/certificate-seeking",R,553,A,,A,,R,553.0
103741,All students total,R,208,A,,A,,R,208.0
103741,Undergraduate total,R,208,A,,A,,R,208.0
103741,"Undergraduate, degree/certificate-seeking",C,208,A,,A,,C,208.0
103893,All students total,R,1734,R,192.0,R,584.0,R,958.0
103893,Undergraduate total,R,1734,R,192.0,R,584.0,R,958.0
103893,"Undergraduate, degree/certificate-seeking",R,1734,R,192.0,R,584.0,R,958.0
103909,All students total,R,875,R,0.0,R,328.0,R,547.0
103909,Undergraduate total,R,875,R,0.0,R,328.0,R,547.0
103909,"Undergraduate, degree/certificate-seeking",R,875,R,0.0,R,328.0,R,547.0
103927,All students total,R,636,R,0.0,R,268.0,R,368.0
103927,Undergraduate total,R,636,R,0.0,R,268.0,R,368.0
103927,"Undergraduate, degree/certificate-seeking",R,636,R,0.0,R,268.0,R,368.0
103954,All students total,R,83,A,,A,,R,83.0
103954,Undergraduate total,R,83,A,,A,,R,83.0
